wallet,loss,wallet_share,loss_share
Wc7bd197c0bda,-291.98268008350885,0.10302593659942363,0.9867067352208789
W498069f584a0,-287.34003495487826,0.1037463976945245,0.9867953990442444
W196b4dba3c94,-278.5132571766361,0.10446685878962536,0.9868813392100244
W9064522a4b07,-276.0274090537572,0.10518731988472622,0.9869665123236291
W3aa947eb9f6d,-274.22040996136803,0.10590778097982709,0.9870511278558708
Wc4dce861b2a1,-268.93884861404695,0.10662824207492795,0.9871341136694327
Wfd627e4aeb0b,-267.68732357094507,0.10734870317002881,0.9872167133029227
Wcd0291e35493,-266.07228468910625,0.10806916426512968,0.98729881458775
W0c26e98ff7b3,-262.4575298158052,0.10878962536023054,0.9873798004763618
Wee74fa300051,-261.32614121638136,0.10951008645533142,0.987460437255115
Wd8961d1f136e,-260.9166302860648,0.11023054755043228,0.9875409476720656
Wc74045ae0569,-260.77452649441534,0.11095100864553314,0.9876214142403911
W487964aa4529,-258.6850796595442,0.11167146974063401,0.987701236073133
W7d02de31153e,-255.53248055348072,0.11239193083573487,0.9877800851159525
We38a2ba20744,-250.7572061308747,0.11311239193083573,0.9878574606638308
W35d43d44c80a,-245.88062518925105,0.1138328530259366,0.987933331456859
W2a7ba5d05e04,-244.31320026488424,0.11455331412103746,0.9880087185933488
Wbaf55c96af92,-241.2932265522829,0.11527377521613832,0.9880831738638151
W903bfe502d84,-239.21278685255902,0.11599423631123919,0.9881569871780077
We8786ab94e26,-237.97983907561138,0.11671469740634005,0.9882304200444709
W970d53984efc,-233.87241110796288,0.11743515850144093,0.9883025854917669
W66ab97ee1bcb,-233.51134571091552,0.11815561959654179,0.9883746395259818
W31c43e5c97cf,-232.838606286917,0.11887608069164265,0.9884464859746109
W50447159b219,-227.85703824530094,0.11959654178674352,0.988516795272773
W03ceb1e79945,-227.30829143905706,0.12031700288184438,0.9885869352454533
W2c1e82657ffc,-224.1430537071124,0.12103746397694524,0.9886560985283408
W4fae93f5b1a3,-221.0052168582988,0.12175792507204611,0.9887242935764603
W5b4a1c4d99f8,-220.25696904294045,0.12247838616714697,0.9887922577395513
We89bf39a1597,-218.8474724924612,0.12319884726224783,0.9888597869776824
W41dd3dfc8e88,-218.25184459318393,0.1239193083573487,0.9889271324243455
Wf9044b667bab,-216.93271963348528,0.12463976945244956,0.9889940708317929
W980a98c48844,-214.8821656679776,0.12536023054755044,0.9890603765047361
W6a04e640c86d,-207.83564612696273,0.1260806916426513,0.9891245078500954
Wab8e4f6fd701,-207.40034385945123,0.12680115273775217,0.9891885048752813
W417becc93e01,-207.26045975538017,0.12752161383285301,0.9892524587367657
Wc8b842fb9c2d,-206.33684523604188,0.1282420749279539,0.9893161276007396
W543644c7e4fa,-205.2998821771825,0.12896253602305474,0.9893794764915169
W3c3d809ce076,-204.14380416019162,0.12968299711815562,0.9894424686540817
Wc1e9b71521f0,-203.90280577287484,0.1304034582132565,0.9895053864523539
Wb3372748fa8b,-201.71583113439374,0.13112391930835735,0.9895676294211226
W72d312056c56,-201.1663131158503,0.13184438040345822,0.9896297028264385
W3c69bcfde6b9,-200.41526246057433,0.13256484149855907,0.9896915444818603
Wc8e60aaa59b4,-199.31666826735395,0.13328530259365995,0.9897530471467146
W07891f3411ae,-198.34580195648118,0.1340057636887608,0.9898142502336869
W2257c3cbbc3b,-196.9598961950942,0.13472622478386168,0.9898750256750524
Wfbf1220847d4,-196.3806431210469,0.13544668587896252,0.9899356223776901
W51ca297b8327,-194.7107147109696,0.1361671469740634,0.9899957037945355
W4fe6cfd862e0,-191.54513170753452,0.13688760806916425,0.9900548084150487
W275c91d6c1ad,-188.80262422866213,0.13760806916426513,0.9901130667866265
W0cd92ed8947f,-188.37858387873112,0.138328530259366,0.9901711943130934
W803a201ac9ee,-188.08893944283335,0.13904899135446686,0.9902292324646736
W0615b83f0cfa,-186.94141205024243,0.13976945244956773,0.9902869165264867
We6d60e03bbd3,-186.92141824633472,0.14048991354466858,0.9903445944188599
W76f9a1c6ae22,-185.5598672609247,0.14121037463976946,0.9904018521807209
Wced6bd66d06e,-184.58269962298903,0.1419308357348703,0.9904588084203143
Wa970ed3d63e3,-182.94652726931835,0.14265129682997119,0.9905152597901407
W38ff2ae08fea,-182.75503775136306,0.14337175792507204,0.9905716520725071
W2c89cc01e67b,-177.7803244920517,0.1440922190201729,0.9906265093195702
Wdd342afa1b11,-177.02864134820993,0.14481268011527376,0.9906811346215737
Wb973603297c2,-176.81983652480972,0.14553314121037464,0.9907356954931753
Wce424e3d866b,-176.12513755534155,0.14625360230547552,0.990790042003187
